symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,train_short_sma,train_long_sma,train_rsi_buy_threshold,train_use_macd_filter,train_tp_rate,train_sl_rate,train_lookahead_steps,train_reward_risk,train_signal_count,train_trade_count,train_total_pnl,train_avg_pnl,train_win_rate,train_gross_profit,train_gross_loss,train_profit_factor,train_final_equity,train_total_return,train_take_profit_count,train_stop_loss_count,train_time_exit_count,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,1,2025-11-24 19:15:00+00:00,2025-12-12 03:50:00+00:00,2025-12-12 03:55:00+00:00,2025-12-15 15:10:00+00:00,total_pnl,10,50,65.0,True,0.03,0.015,96,2.0,28,21,124.72200248835657,5.9391429756360266,52.38095238095239,248.3827386293376,123.66073614098104,2.008582080137107,10124.722002488354,1.2472200248835361,8,7,6,10,50,65.0,True,0.03,0.015,96,2.0,4,4,-4.015318272917511,-1.0038295682293779,50.0,12.23413926578462,16.24945753870213,0.7528952419885999,9995.98468172708,-0.04015318272919103,0,1,3
SOLUSDT,5m,2,2025-11-28 06:35:00+00:00,2025-12-15 15:10:00+00:00,2025-12-15 15:15:00+00:00,2025-12-19 02:30:00+00:00,total_pnl,12,50,65.0,True,0.03,0.012,72,2.5,31,27,130.3223887067967,4.8267551372887665,62.96296296296296,223.51905915939153,93.19667045259484,2.3983588477346527,10130.322388706794,1.303223887067943,6,5,16,12,50,65.0,True,0.03,0.012,72,2.5,7,6,41.772132367299946,6.962022061216658,83.33333333333334,54.957376687299984,13.185244320000038,4.168096953951615,10041.772132367301,0.4177213236730131,1,1,4
SOLUSDT,5m,3,2025-12-01 17:55:00+00:00,2025-12-19 02:30:00+00:00,2025-12-19 02:35:00+00:00,2025-12-22 13:50:00+00:00,total_pnl,12,50,65.0,True,0.03,0.01,72,3.0,32,29,190.6971111559252,6.575762453652593,65.51724137931035,287.84468729842877,97.14757614250357,2.962963140492522,10190.697111155923,1.9069711115592327,8,8,13,12,50,65.0,True,0.03,0.01,72,3.0,9,7,0.4082805644245582,0.05832579491779403,28.57142857142857,30.25478246666671,29.846501902242153,1.0136793439231782,10000.408280564421,0.004082805644211476,1,2,4
SOLUSDT,5m,4,2025-12-05 05:15:00+00:00,2025-12-22 13:50:00+00:00,2025-12-22 13:55:00+00:00,2025-12-26 01:10:00+00:00,total_pnl,8,50,65.0,True,0.03,0.015,96,2.0,29,22,146.101342531726,6.640970115078455,59.09090909090909,211.7951388153591,65.6937962836331,3.2239747251161,10146.101342531723,1.4610134253172327,6,3,13,8,50,65.0,True,0.03,0.015,96,2.0,8,6,-29.71521628026653,-4.952536046711089,16.666666666666664,9.043205598490431,38.75842187875696,0.23332233770454172,9970.284783719733,-0.2971521628026676,0,1,5
SOLUSDT,5m,5,2025-12-08 16:35:00+00:00,2025-12-26 01:10:00+00:00,2025-12-26 01:15:00+00:00,2025-12-29 12:30:00+00:00,total_pnl,12,50,65.0,True,0.03,0.015,72,2.0,36,27,146.2129074463087,5.415292868381804,66.66666666666666,205.7551125267239,59.542205080415215,3.45561794778745,10146.212907446306,1.4621290744630642,5,2,20,12,50,65.0,True,0.03,0.015,72,2.0,3,3,-17.703064604511724,-5.901021534837241,33.33333333333333,0.49064991538409686,18.19371451989582,0.026968100156103052,9982.296935395489,-0.17703064604511382,0,1,2
SOLUSDT,5m,6,2025-12-12 03:55:00+00:00,2025-12-29 12:30:00+00:00,2025-12-29 12:35:00+00:00,2026-01-01 23:50:00+00:00,total_pnl,12,30,65.0,True,0.015,0.008,72,1.875,36,30,136.20111917392944,4.540037305797648,66.66666666666666,201.90609091017586,65.70497173624642,3.0729195306661024,10136.201119173935,1.3620111917393478,12,6,12,12,30,65.0,True,0.015,0.008,72,1.875,12,9,-21.321794610721668,-2.3690882900801853,33.33333333333333,26.227931820665844,47.54972643138751,0.551589541919064,9978.67820538928,-0.21321794610719735,1,5,3
SOLUSDT,5m,7,2025-12-15 15:15:00+00:00,2026-01-01 23:50:00+00:00,2026-01-01 23:55:00+00:00,2026-01-05 11:10:00+00:00,total_pnl,12,30,65.0,False,0.015,0.015,72,1.0,47,35,137.79881088552418,3.937108882443548,65.71428571428571,232.9847294269133,95.18591854138913,2.4476806338282686,10137.798810885533,1.3779881088553338,13,4,18,12,30,65.0,False,0.015,0.015,72,1.0,9,6,47.089056871494336,7.848176145249056,83.33333333333334,51.379818757869884,4.290761886375549,11.974521103353734,10047.089056871495,0.47089056871494905,2,0,4
SOLUSDT,5m,8,2025-12-19 02:35:00+00:00,2026-01-05 11:10:00+00:00,2026-01-05 11:15:00+00:00,2026-01-08 22:30:00+00:00,total_pnl,12,30,65.0,False,0.02,0.015,72,1.3333333333333335,49,34,162.3323048432726,4.7744795542139,64.70588235294117,230.96284233402707,68.63053749075448,3.3653072054862037,10162.332304843276,1.6233230484327579,7,2,25,12,30,65.0,False,0.02,0.015,72,1.3333333333333335,10,9,-73.82006947048001,-8.202229941164445,22.22222222222222,27.643673037140275,101.46374250762028,0.27244878174155795,9926.17993052952,-0.7382006947047921,1,6,2
SOLUSDT,5m,9,2025-12-22 13:55:00+00:00,2026-01-08 22:30:00+00:00,2026-01-08 22:35:00+00:00,2026-01-12 09:50:00+00:00,total_pnl,5,30,60.0,True,0.03,0.008,96,3.75,55,38,138.0445434532004,3.6327511435052733,55.26315789473685,275.26751421329936,137.22297076009897,2.005987136763988,10138.044543453203,1.38044543453203,5,14,19,5,30,60.0,True,0.03,0.008,96,3.75,11,10,-26.813681006006846,-2.6813681006006846,30.0,30.0402668967414,56.853947902748246,0.5283760935674494,9973.186318993994,-0.2681368100600594,1,6,3
SOLUSDT,5m,10,2025-12-26 01:15:00+00:00,2026-01-12 09:50:00+00:00,2026-01-12 09:55:00+00:00,2026-01-15 21:10:00+00:00,total_pnl,10,80,50.0,True,0.03,0.006,96,5.0,46,35,161.27774978752666,4.607935708215048,51.42857142857142,264.56397474479024,103.28622495726358,2.5614642693569065,10161.277749787527,1.6127774978752678,6,14,15,10,80,50.0,True,0.03,0.006,96,5.0,6,6,26.48747339814895,4.414578899691492,50.0,48.06479987814896,21.57732648000001,2.227560486823988,10026.487473398149,0.26487473398148725,1,3,2
