symbol,timeframe,fold,train_start,train_end,test_start,test_end,selection_objective,condition,condition_size,train_condition,train_condition_size,train_tp_rate,train_sl_rate,train_lookahead_steps,train_reward_risk,train_condition_rate_pct,train_entry_count,train_tp_count,train_sl_count,train_time_exit_count,train_tp_rate_pct,train_sl_rate_pct,train_time_exit_rate_pct,train_avg_gross_return,train_avg_net_return,train_trade_count,train_total_pnl,train_avg_pnl,train_win_rate,train_gross_profit,train_gross_loss,train_profit_factor,train_final_equity,train_total_return,train_sim_tp_count,train_sim_sl_count,train_sim_time_exit_count,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_condition_rate_pct,test_entry_count,test_tp_count,test_sl_count,test_time_exit_count,test_tp_rate_pct,test_sl_rate_pct,test_time_exit_rate_pct,test_avg_gross_return,test_avg_net_return,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_sim_tp_count,test_sim_sl_count,test_sim_time_exit_count
BTCUSDT,15m,1,2024-12-12 22:00:00+00:00,2025-02-02 23:45:00+00:00,2025-02-03 00:00:00+00:00,2025-02-13 09:45:00+00:00,total_pnl,55 <= rsi_14 < 65 AND volume_zscore_24 > 1,2,55 <= rsi_14 < 65 AND volume_zscore_24 > 1,2,0.03,0.008,72,3.75,2.34,117,21,57,39,17.94871794871795,48.717948717948715,33.33333333333333,0.0040369674453964825,0.002836967445396483,56,128.72756578701683,2.298706531911015,37.5,422.919878436394,294.1923126493772,1.4375626427072425,10128.727565787016,1.2872756578701592,11,31,14,0.03,0.008,72,3.75,3.1,31,2,28,1,6.451612903225806,90.32258064516128,3.225806451612903,-0.005065849076469806,-0.006265849076469806,11,-48.195324399794686,-4.3813931272540625,18.181818181818183,34.51506152020522,82.71038591999991,0.41730021128893385,9951.804675600206,-0.4819532439979412,1,9,1
BTCUSDT,15m,2,2024-12-23 08:00:00+00:00,2025-02-13 09:45:00+00:00,2025-02-13 10:00:00+00:00,2025-02-23 19:45:00+00:00,total_pnl,rolling_std_24 > q75 AND 35 <= rsi_14 < 45,2,rolling_std_24 > q75 AND 35 <= rsi_14 < 45,2,0.03,0.01,48,3.0,5.3,265,49,133,83,18.49056603773585,50.18867924528302,31.32075471698113,0.0032087697489477547,0.002008769748947755,67,123.29716181411516,1.8402561464793308,43.28358208955223,529.6517225187284,406.3545607046133,1.3034226110328861,10123.2971618141,1.2329716181410004,15,34,18,0.03,0.01,48,3.0,0.8,8,0,7,1,0.0,87.5,12.5,-0.008591267315592918,-0.009791267315592917,3,-22.306589101363556,-7.435529700454519,33.33333333333333,0.06869809863644605,22.375287200000002,0.0030702666751220983,9977.693410898635,-0.2230658910136481,0,2,1
BTCUSDT,15m,3,2025-01-02 18:00:00+00:00,2025-02-23 19:45:00+00:00,2025-02-23 20:00:00+00:00,2025-03-06 05:45:00+00:00,total_pnl,volume_zscore_24 <= q25 AND 65 <= rsi_14 < 100,2,volume_zscore_24 <= q25 AND 65 <= rsi_14 < 100,2,0.01,0.015,48,0.6666666666666667,4.24,212,96,31,85,45.28301886792453,14.622641509433961,40.09433962264151,0.0022691370431449963,0.0010691370431449964,66,107.85867058545739,1.6342222815978393,60.60606060606061,322.67705594977406,214.81838536431667,1.502092362357797,10107.858670585472,1.078586705854723,35,10,21,0.01,0.015,48,0.6666666666666667,6.0,60,32,21,7,53.333333333333336,35.0,11.666666666666666,0.00020334663437879093,-0.000996653365621209,21,-35.43388728375828,-1.6873279658932514,57.14285714285714,97.53565984778129,132.96954713153957,0.7335187789373648,9964.566112716248,-0.35433887283752485,11,8,2
BTCUSDT,15m,4,2025-01-13 04:00:00+00:00,2025-03-06 05:45:00+00:00,2025-03-06 06:00:00+00:00,2025-03-16 15:45:00+00:00,total_pnl,rolling_std_24 > q75 AND volume_zscore_24 <= q25,2,rolling_std_24 > q75 AND volume_zscore_24 <= q25,2,0.03,0.006,96,5.0,6.2,310,66,216,28,21.29032258064516,69.6774193548387,9.032258064516128,0.0037454763828782124,0.0025454763828782123,63,142.37833423910422,2.2599735593508608,30.158730158730158,458.8457892791057,316.4674550400015,1.4498988188883675,10142.378334239114,1.4237833423911435,13,44,6,0.03,0.006,96,5.0,10.9,109,10,97,2,9.174311926605505,88.9908256880734,1.834862385321101,-0.002545730336998561,-0.003745730336998561,22,-6.347486548564234,-0.2885221158438288,22.727272727272727,115.92403017143647,122.2715167200007,0.9480869566450226,9993.65251345144,-0.06347486548560483,4,17,1
BTCUSDT,15m,5,2025-01-23 14:00:00+00:00,2025-03-16 15:45:00+00:00,2025-03-16 16:00:00+00:00,2025-03-27 01:45:00+00:00,total_pnl,rolling_std_24 > q75 AND volume_zscore_24 <= q25,2,rolling_std_24 > q75 AND volume_zscore_24 <= q25,2,0.03,0.01,48,3.0,6.54,327,57,191,79,17.431192660550458,58.40978593272171,24.159021406727827,0.0011953788337112424,-4.621166288757512e-06,57,148.31847519109135,2.6020785121244097,45.614035087719294,495.13542679109037,346.816951599999,1.4276563602408752,10148.31847519108,1.4831847519107941,12,31,14,0.03,0.01,48,3.0,0.8,8,0,0,8,0.0,0.0,100.0,0.00011966873888159449,-0.0010803312611184055,1,-0.9706512321682794,-0.9706512321682794,0.0,0.0,0.9706512321682794,0.0,9999.029348767832,-0.009706512321681657,0,0,1
BTCUSDT,15m,6,2025-02-03 00:00:00+00:00,2025-03-27 01:45:00+00:00,2025-03-27 02:00:00+00:00,2025-04-06 11:45:00+00:00,total_pnl,rolling_std_24 between q50-q75 AND rsi_14 between q25-q50,2,rolling_std_24 between q50-q75 AND rsi_14 between q25-q50,2,0.02,0.015,72,1.3333333333333335,6.2,310,79,136,95,25.483870967741932,43.87096774193549,30.64516129032258,0.00012535542110185085,-0.001074644578898149,55,158.0871683371431,2.8743121515844203,56.36363636363636,466.0842420506209,307.9970737134778,1.5132749036577138,10158.087168337148,1.5808716833714789,19,18,18,0.02,0.015,72,1.3333333333333335,5.7,57,28,17,12,49.122807017543856,29.82456140350877,21.052631578947366,0.006689459184441677,0.0054894591844416776,9,-6.856918041940958,-0.7618797824378842,55.55555555555556,49.42675162229955,56.283669664240506,0.8781721575219631,9993.143081958058,-0.06856918041941754,2,3,4
BTCUSDT,15m,7,2025-02-13 10:00:00+00:00,2025-04-06 11:45:00+00:00,2025-04-06 12:00:00+00:00,2025-04-16 21:45:00+00:00,total_pnl,atr_14 between q50-q75 AND volume_zscore_24 between q50-q75,2,atr_14 between q50-q75 AND volume_zscore_24 between q50-q75,2,0.03,0.01,96,3.0,6.239999999999999,312,59,191,62,18.91025641025641,61.21794871794872,19.871794871794872,0.0015587257163148399,0.00035872571631483997,55,158.54098138268625,2.882563297867023,43.63636363636363,482.80576699734775,324.2647856146615,1.4889244482164883,10158.540981382672,1.5854098138267183,13,28,14,0.03,0.01,96,3.0,9.6,96,14,70,12,14.583333333333334,72.91666666666666,12.5,-0.0010352681956207913,-0.002235268195620791,14,-27.14625137972746,-1.9390179556948186,28.57142857142857,84.73018462027278,111.87643600000024,0.7573550575053409,9972.85374862027,-0.2714625137973053,2,10,2
BTCUSDT,15m,8,2025-02-23 20:00:00+00:00,2025-04-16 21:45:00+00:00,2025-04-16 22:00:00+00:00,2025-04-27 07:45:00+00:00,total_pnl,volume_zscore_24 between q25-q50 AND rsi_14 > q75,2,volume_zscore_24 between q25-q50 AND rsi_14 > q75,2,0.02,0.01,48,2.0,5.52,276,92,119,65,33.33333333333333,43.11594202898551,23.55072463768116,0.002992781534990571,0.001792781534990571,81,212.3744208044344,2.6219064296843753,49.382716049382715,601.1341912756376,388.7597704712032,1.546287031055251,10212.374420804434,2.1237442080443363,28,32,21,0.02,0.01,48,2.0,5.6000000000000005,56,14,17,25,25.0,30.357142857142854,44.642857142857146,0.003412344366553883,0.0022123443665538834,13,62.26912016675476,4.789932320519597,61.53846153846154,108.22636359533749,45.95724342858273,2.354935925683197,10062.269120166755,0.6226912016675488,4,4,5
BTCUSDT,15m,9,2025-03-06 06:00:00+00:00,2025-04-27 07:45:00+00:00,2025-04-27 08:00:00+00:00,2025-05-07 17:45:00+00:00,total_pnl,volume_zscore_24 between q25-q50 AND 55 <= rsi_14 < 65,2,volume_zscore_24 between q25-q50 AND 55 <= rsi_14 < 65,2,0.02,0.015,96,1.3333333333333335,6.0600000000000005,303,111,120,72,36.633663366336634,39.603960396039604,23.762376237623762,0.0013399040653285454,0.00013990406532854546,68,242.8345766830638,3.5710967159274087,54.41176470588235,632.380616907702,389.5460402246382,1.6233783727926723,10242.834576683073,2.4283457668307347,32,21,15,0.02,0.015,96,1.3333333333333335,5.6000000000000005,56,16,13,27,28.57142857142857,23.214285714285715,48.214285714285715,0.0018665881731582022,0.0006665881731582023,10,1.2806569610345377,0.12806569610345378,50.0,53.15712472264113,51.87646776160659,1.0246866646148631,10001.280656961037,0.01280656961036584,2,2,6
BTCUSDT,15m,10,2025-03-16 16:00:00+00:00,2025-05-07 17:45:00+00:00,2025-05-07 18:00:00+00:00,2025-05-18 03:45:00+00:00,total_pnl,volume_zscore_24 <= 0 AND rsi_14 between q50-q75,2,volume_zscore_24 <= 0 AND rsi_14 between q50-q75,2,0.02,0.015,96,1.3333333333333335,18.18,909,300,320,289,33.003300330033,35.203520352035206,31.79317931793179,0.0012346483345466873,3.4648334546687415e-05,74,211.89231509451497,2.8634096634393913,56.75675675675676,628.8396411791929,416.9473260846779,1.5081992420584123,10211.892315094525,2.1189231509452475,30,21,23,0.02,0.015,96,1.3333333333333335,19.1,190,36,42,112,18.947368421052634,22.105263157894736,58.94736842105262,0.0006297707441112002,-0.0005702292558887997,13,49.09931564503256,3.776870434233274,46.15384615384615,112.65820319999989,63.55888755496733,1.77250118014684,10049.099315645033,0.4909931564503313,6,3,4
