symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,signal_count,trade_count,win_count,loss_count,win_rate,total_pnl,avg_pnl,final_equity,total_return,take_profit_count,stop_loss_count,time_exit_count,profit_factor
BTCUSDT,5m,RandomForest,0.05,1,3000,500,2025-11-18 01:55:00+00:00,2025-11-28 11:50:00+00:00,2025-11-28 11:55:00+00:00,2025-11-30 05:30:00+00:00,0.904,0.02702702702702703,0.07692307692307693,0.04,500,40,13,27,32.5,-34.98608587323508,-0.8746521468308771,9965.013914126766,-0.349860858732336,2,2,36,0.5274367887394648
BTCUSDT,5m,RandomForest,0.08,1,3000,500,2025-11-18 01:55:00+00:00,2025-11-28 11:50:00+00:00,2025-11-28 11:55:00+00:00,2025-11-30 05:30:00+00:00,0.904,0.02702702702702703,0.07692307692307693,0.04,500,40,13,27,32.5,-34.98608587323508,-0.8746521468308771,9965.013914126766,-0.349860858732336,2,2,36,0.5274367887394648
BTCUSDT,5m,RandomForest,0.1,1,3000,500,2025-11-18 01:55:00+00:00,2025-11-28 11:50:00+00:00,2025-11-28 11:55:00+00:00,2025-11-30 05:30:00+00:00,0.904,0.02702702702702703,0.07692307692307693,0.04,494,40,13,27,32.5,-34.98608587323508,-0.8746521468308771,9965.013914126766,-0.349860858732336,2,2,36,0.5274367887394648
BTCUSDT,5m,RandomForest,0.12,1,3000,500,2025-11-18 01:55:00+00:00,2025-11-28 11:50:00+00:00,2025-11-28 11:55:00+00:00,2025-11-30 05:30:00+00:00,0.904,0.02702702702702703,0.07692307692307693,0.04,477,40,14,26,35.0,-41.09791178006026,-1.0274477945015064,9958.90208821994,-0.41097911780059804,2,2,36,0.4513758716644968
BTCUSDT,5m,RandomForest,0.15,1,3000,500,2025-11-18 01:55:00+00:00,2025-11-28 11:50:00+00:00,2025-11-28 11:55:00+00:00,2025-11-30 05:30:00+00:00,0.904,0.02702702702702703,0.07692307692307693,0.04,364,38,11,27,28.947368421052634,-31.539123997326897,-0.8299769472980763,9968.460876002677,-0.3153912399732326,2,2,34,0.49396241694770016
BTCUSDT,5m,RandomForest,0.2,1,3000,500,2025-11-18 01:55:00+00:00,2025-11-28 11:50:00+00:00,2025-11-28 11:55:00+00:00,2025-11-30 05:30:00+00:00,0.904,0.02702702702702703,0.07692307692307693,0.04,173,31,11,20,35.483870967741936,-23.75438014359611,-0.7662703272127777,9976.245619856405,-0.23754380143594972,2,2,27,0.5690035754050723
BTCUSDT,5m,RandomForest,0.3,1,3000,500,2025-11-18 01:55:00+00:00,2025-11-28 11:50:00+00:00,2025-11-28 11:55:00+00:00,2025-11-30 05:30:00+00:00,0.904,0.02702702702702703,0.07692307692307693,0.04,110,21,12,9,57.14285714285714,4.181205928281315,0.19910504420387215,10004.181205928286,0.041812059282856355,2,2,17,1.1259823089340815
BTCUSDT,5m,RandomForest,0.05,2,3000,500,2025-11-19 19:35:00+00:00,2025-11-30 05:30:00+00:00,2025-11-30 05:35:00+00:00,2025-12-01 23:10:00+00:00,0.756,0.13333333333333333,0.47058823529411764,0.2077922077922078,500,44,16,28,36.36363636363637,-98.01803796799584,-2.2276826810908146,9901.981962032007,-0.9801803796799322,2,9,33,0.28152145999791106
BTCUSDT,5m,RandomForest,0.08,2,3000,500,2025-11-19 19:35:00+00:00,2025-11-30 05:30:00+00:00,2025-11-30 05:35:00+00:00,2025-12-01 23:10:00+00:00,0.756,0.13333333333333333,0.47058823529411764,0.2077922077922078,485,44,16,28,36.36363636363637,-98.01803796799584,-2.2276826810908146,9901.981962032007,-0.9801803796799322,2,9,33,0.28152145999791106
BTCUSDT,5m,RandomForest,0.1,2,3000,500,2025-11-19 19:35:00+00:00,2025-11-30 05:30:00+00:00,2025-11-30 05:35:00+00:00,2025-12-01 23:10:00+00:00,0.756,0.13333333333333333,0.47058823529411764,0.2077922077922078,455,43,16,27,37.2093023255814,-88.66107380713584,-2.061885437375252,9911.338926192864,-0.8866107380713584,2,8,33,0.3050158152480847
