symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,base_final_equity,base_total_return,base_realized_pnl,base_buy_count,base_sell_count,base_win_rate,base_take_profit_count,base_stop_loss_count,base_sma_exit_count,base_blocked_buy_count,ml_final_equity,ml_total_return,ml_realized_pnl,ml_buy_count,ml_sell_count,ml_win_rate,ml_take_profit_count,ml_stop_loss_count,ml_sma_exit_count,ml_blocked_buy_count,delta_pnl,delta_return
BTCUSDT,5m,LogisticRegression,0.5,1,3000,500,2025-11-18 06:15:00+00:00,2026-02-02 01:20:00+00:00,2026-02-02 01:25:00+00:00,2026-02-05 15:25:00+00:00,0.508,0.32669322709163345,0.5157232704402516,0.4,9963.64548562583,-0.3635451437417032,-32.15451437416927,7,7,0.0,0,6,1,0,9963.64548562583,-0.3635451437417032,-32.15451437416927,7,7,0.0,0,6,1,0,0.0,0.0
BTCUSDT,5m,LogisticRegression,0.55,1,3000,500,2025-11-18 06:15:00+00:00,2026-02-02 01:20:00+00:00,2026-02-02 01:25:00+00:00,2026-02-05 15:25:00+00:00,0.508,0.32669322709163345,0.5157232704402516,0.4,9963.64548562583,-0.3635451437417032,-32.15451437416927,7,7,0.0,0,6,1,0,9969.9867511272,-0.30013248872799525,-26.41324887279944,6,6,0.0,0,5,1,1,5.741265501369828,0.06341265501370796
BTCUSDT,5m,LogisticRegression,0.6,1,3000,500,2025-11-18 06:15:00+00:00,2026-02-02 01:20:00+00:00,2026-02-02 01:25:00+00:00,2026-02-05 15:25:00+00:00,0.508,0.32669322709163345,0.5157232704402516,0.4,9963.64548562583,-0.3635451437417032,-32.15451437416927,7,7,0.0,0,6,1,0,9969.9867511272,-0.30013248872799525,-26.41324887279944,6,6,0.0,0,5,1,1,5.741265501369828,0.06341265501370796
BTCUSDT,5m,LogisticRegression,0.65,1,3000,500,2025-11-18 06:15:00+00:00,2026-02-02 01:20:00+00:00,2026-02-02 01:25:00+00:00,2026-02-05 15:25:00+00:00,0.508,0.32669322709163345,0.5157232704402516,0.4,9963.64548562583,-0.3635451437417032,-32.15451437416927,7,7,0.0,0,6,1,0,9989.464550295723,-0.10535449704277197,-9.335449704277622,2,2,0.0,0,2,0,5,22.819064669891645,0.2581906466989312
BTCUSDT,5m,LogisticRegression,0.5,2,3000,500,2025-11-23 23:20:00+00:00,2026-02-05 15:25:00+00:00,2026-02-05 15:30:00+00:00,2026-02-08 16:15:00+00:00,0.52,0.509915014164306,0.728744939271255,0.6,9996.028598652343,-0.03971401347656865,-2.171401347657951,3,3,66.66666666666666,0,1,2,0,9994.878383122112,-0.051216168778883006,-3.9216168778897704,2,2,50.0,0,1,1,1,-1.7502155302318196,-0.011502155302314354
BTCUSDT,5m,LogisticRegression,0.55,2,3000,500,2025-11-23 23:20:00+00:00,2026-02-05 15:25:00+00:00,2026-02-05 15:30:00+00:00,2026-02-08 16:15:00+00:00,0.52,0.509915014164306,0.728744939271255,0.6,9996.028598652343,-0.03971401347656865,-2.171401347657951,3,3,66.66666666666666,0,1,2,0,9994.878383122112,-0.051216168778883006,-3.9216168778897704,2,2,50.0,0,1,1,1,-1.7502155302318196,-0.011502155302314354
BTCUSDT,5m,LogisticRegression,0.6,2,3000,500,2025-11-23 23:20:00+00:00,2026-02-05 15:25:00+00:00,2026-02-05 15:30:00+00:00,2026-02-08 16:15:00+00:00,0.52,0.509915014164306,0.728744939271255,0.6,9996.028598652343,-0.03971401347656865,-2.171401347657951,3,3,66.66666666666666,0,1,2,0,10000.0,0.0,0.0,0,0,0.0,0,0,0,3,2.171401347657951,0.03971401347656865
BTCUSDT,5m,LogisticRegression,0.65,2,3000,500,2025-11-23 23:20:00+00:00,2026-02-05 15:25:00+00:00,2026-02-05 15:30:00+00:00,2026-02-08 16:15:00+00:00,0.52,0.509915014164306,0.728744939271255,0.6,9996.028598652343,-0.03971401347656865,-2.171401347657951,3,3,66.66666666666666,0,1,2,0,10000.0,0.0,0.0,0,0,0.0,0,0,0,3,2.171401347657951,0.03971401347656865
BTCUSDT,5m,LogisticRegression,0.5,3,3000,500,2025-12-04 18:25:00+00:00,2026-02-08 16:15:00+00:00,2026-02-08 16:20:00+00:00,2026-02-14 15:35:00+00:00,0.542,0.4153846153846154,0.5837837837837838,0.4853932584269663,9958.231219648178,-0.4176878035182198,-37.56878035182173,7,7,14.285714285714285,0,6,1,0,9958.231219648178,-0.4176878035182198,-37.56878035182173,7,7,14.285714285714285,0,6,1,0,0.0,0.0
BTCUSDT,5m,LogisticRegression,0.55,3,3000,500,2025-12-04 18:25:00+00:00,2026-02-08 16:15:00+00:00,2026-02-08 16:20:00+00:00,2026-02-14 15:35:00+00:00,0.542,0.4153846153846154,0.5837837837837838,0.4853932584269663,9958.231219648178,-0.4176878035182198,-37.56878035182173,7,7,14.285714285714285,0,6,1,0,9958.231219648178,-0.4176878035182198,-37.56878035182173,7,7,14.285714285714285,0,6,1,0,0.0,0.0
BTCUSDT,5m,LogisticRegression,0.6,3,3000,500,2025-12-04 18:25:00+00:00,2026-02-08 16:15:00+00:00,2026-02-08 16:20:00+00:00,2026-02-14 15:35:00+00:00,0.542,0.4153846153846154,0.5837837837837838,0.4853932584269663,9958.231219648178,-0.4176878035182198,-37.56878035182173,7,7,14.285714285714285,0,6,1,0,9984.994022357818,-0.1500597764218219,-12.60597764218212,4,4,25.0,0,3,1,3,24.96280270963961,0.26762802709639794
BTCUSDT,5m,LogisticRegression,0.65,3,3000,500,2025-12-04 18:25:00+00:00,2026-02-08 16:15:00+00:00,2026-02-08 16:20:00+00:00,2026-02-14 15:35:00+00:00,0.542,0.4153846153846154,0.5837837837837838,0.4853932584269663,9958.231219648178,-0.4176878035182198,-37.56878035182173,7,7,14.285714285714285,0,6,1,0,9983.404907138713,-0.1659509286128741,-15.395092861287047,2,2,0.0,0,2,0,5,22.173687490534682,0.2517368749053457
